OverallQual,YearBuilt,TotalBsmtSF,GrLivArea,SalePrice
5,1958,1584,1776,110000
4,1925,780,1208,103000
8,1995,1595,1616,236500
7,2003,868,1146,187500
7,1998,1153,2031,222500
5,1961,864,1144,131400
5,1968,948,948,108000
7,1914,880,1768,163000
3,1950,0,1040,93500
8,2005,893,1801,239900
5,1987,1200,1200,179000
7,2004,864,1728,190000
5,1910,264,1432,132000
6,1961,912,912,142000
7,2000,1349,1349,179000
5,1963,520,1464,175000
8,1993,1337,1337,180000
8,1976,1142,2715,299800
7,2000,952,2256,236000
7,1880,1240,2640,265979
7,1996,1720,1720,260400
4,1945,0,1529,98000
4,1910,576,1140,96500
7,2003,660,1320,162000
6,1997,1479,1494,217000
8,2005,1030,2098,275500
6,1969,1026,1026,156000
6,1999,729,1471,172500
8,2007,866,1768,212000
6,1978,672,1386,158900
7,1999,744,1501,179400
8,1995,1318,2531,290000
6,1959,864,864,127500
5,1924,1145,1301,100000
7,2009,756,1547,215200
8,1999,1252,2365,337000
8,1995,1494,1494,270000
9,2008,1498,1506,264132
7,1988,980,1714,196500
6,1940,983,1750,160000
7,2004,1860,1836,216837
8,2003,1650,3279,538000
5,1982,858,858,134900
4,1951,836,1220,102000
6,1976,1029,1117,107000
5,1958,912,912,114500
8,2006,1935,1973,395000
6,1998,1204,1204,162000
7,2005,1614,1614,221500
5,1974,864,894,142500
5,1977,0,2020,144000
6,1977,975,1004,135000
7,1995,1237,1253,176000
6,1992,761,1603,175900
7,2001,1413,1430,187100
5,1978,1097,1110,165500
6,1914,742,1484,128000
6,1967,1372,1342,161500
5,1915,686,1652,139000
7,2004,956,2084,233000
4,1954,901,901,107900
6,1966,832,2087,187500
7,2005,1145,1145,160200
6,1976,1029,1062,146800
7,1996,1117,2013,269790
8,2007,1496,1496,225000
7,1994,712,1895,194500
6,1980,650,1564,171000
6,1977,660,1285,143500
5,1953,773,773,110000
9,2008,1926,3140,485000
5,1937,731,1768,175000
6,1997,616,1688,200000
4,1916,1196,1196,109900
7,2005,728,1456,189000
9,2008,1734,2822,582933
5,1954,936,1128,118000
7,2008,1417,1428,227680
5,1967,980,980,135500
5,1923,1324,1576,223500
5,1966,1024,1086,159950
5,1898,849,2138,106000
6,1974,1040,1309,181000
6,2004,848,848,144500
5,1952,540,1044,55993
6,1958,1442,1442,157900
5,1918,686,1250,116000
7,1998,1649,1661,224900
5,1954,1008,1008,137000
8,2002,1568,1689,271000
6,1971,1010,1052,155000
7,2009,1358,1358,224000
7,2003,798,1640,183000
4,1953,936,936,93000
7,2003,847,1733,225000
6,1940,778,1489,139500
8,2006,1489,1489,232600
10,2007,2078,2084,385000
5,1924,784,784,109500
7,2001,1454,1434,189000
5,1967,1013,2126,185000
7,2005,600,1223,147400
6,1957,1392,1392,166000
7,2005,600,1200,151000
7,2003,941,1829,237000
6,1964,1516,1516,167000
5,1961,1144,1144,139950
4,1950,1067,1067,128000
5,1948,1559,1559,153500
6,1973,483,987,100000
5,1995,1099,1099,144000
5,1946,768,1200,130500
6,1925,672,1482,140000
5,1904,650,1539,157500
6,1966,1127,1165,174900
5,1961,1800,1800,141000
5,1915,876,1416,153900
5,1975,1390,1701,171000
7,1993,740,1775,213000
5,1972,864,864,133500
6,1908,907,2358,240000
6,1976,528,1855,187000
6,2003,848,848,131500
8,2003,1273,1456,215000
7,1941,918,1646,164000
6,1964,1127,1445,158000
5,1955,1763,1779,170000
5,1962,1040,1040,127000
6,1978,940,1026,147000
6,1994,702,1481,174000
7,1976,1090,1370,152000
6,1968,1054,2654,250000
7,1918,912,1426,189950
5,1965,1039,1039,131500
6,1984,1040,1097,152000
5,1959,1148,1148,132500
7,2007,1372,1372,250580
5,1970,1002,1002,148500
8,2006,1638,1646,248900
4,1961,1040,1120,129000
5,1948,0,2320,169000
7,1993,1050,1949,236000
5,1962,894,894,109500
6,1998,804,1682,200500
5,1953,105,910,116000
5,1949,832,1268,133000
5,1941,676,1131,66500
8,2007,1184,2610,303477
4,1963,1064,1040,132250
9,2004,1462,2224,350000
5,1961,1109,1155,148000
5,1978,864,864,136500
5,2005,1090,1090,157000
7,1990,1156,1717,187500
6,1992,808,1593,178000
4,1912,795,2230,118500
5,1967,892,892,100000
9,1999,1698,1709,328900
5,1959,1626,1712,145000
5,1955,816,1393,135500
8,1970,2217,2217,268000
6,1953,1505,1505,149500
5,1949,672,924,122900
6,1978,918,1683,172500
6,1963,1059,1068,154500
5,1954,1383,1383,165000
5,1979,0,1535,118858
6,1963,780,1796,140000
4,1936,951,951,106500
5,1979,0,2240,142953
9,2009,2330,2364,611657
5,1961,912,1236,135000
4,1971,858,858,110000
5,1957,992,1306,153000
7,2003,783,1509,180000
7,2006,1670,1670,240000
5,1967,876,902,125500
5,1954,1056,1063,128000
8,2006,1623,1636,255000
7,1936,1017,2057,250000
5,1983,864,902,131000
6,2005,742,1484,174000
5,1960,1105,2274,154300
5,1977,1268,1268,143500
5,1925,768,1015,88000
5,1949,1001,2002,145000
6,2009,612,1224,173733
4,1970,546,1092,75000
2,1949,480,480,35311
4,1956,1134,1229,135000
7,1991,1104,2127,238000
6,1958,1184,1414,176500
6,1994,928,1721,201000
5,1900,1272,2200,145900
6,2005,1316,1316,169990
6,1993,1604,1617,193000
6,1980,1686,1686,207500
5,1977,1126,1126,175000
8,2003,1181,2374,285000
7,1968,832,1978,176000
8,2001,1753,1788,236500
7,1997,964,2236,222000
8,2007,1466,1466,201000
5,1965,925,925,117500
9,2006,1905,1905,320000
7,2004,1500,1500,190000
7,1960,585,2069,242000
4,1926,600,747,79900
7,2003,1176,1200,184900
7,2005,1113,1971,253000
7,2006,1391,1962,239799
7,1940,1032,2403,244400
6,1976,1728,1728,150900
7,1999,992,2060,214000
4,1977,1440,1440,150000
5,1967,1632,1632,143000
6,1958,819,1344,137500
5,1890,1088,1869,124900
5,1959,1144,1144,143000
8,2002,1616,1629,270000
7,2002,936,1776,192500
6,1972,1161,1381,197500
5,1950,864,864,129000
5,1965,828,965,119900
5,1972,768,768,133900
5,1969,784,1968,172000
6,1975,945,980,127500
6,1946,979,1958,145000
6,1980,561,1229,124000
5,1962,1057,1057,132000
7,2003,1337,1337,185000
7,1999,696,1416,155000
5,1958,858,858,116500
6,1977,1330,2872,272000
6,1976,804,1548,155000
9,2007,1800,1800,239000
7,2002,817,1894,214900
6,2005,783,1484,178900
5,1940,728,1308,160000
5,1955,1098,1098,135000
3,1910,600,968,37900
6,1958,588,1095,140000
4,1949,720,1192,135000
7,2003,764,1626,173000
6,1979,918,918,99500
7,2007,1428,1428,182000
7,1910,728,2019,167500
7,2000,673,1382,165000
4,1923,440,869,85500
7,2006,1241,1241,199900
4,1954,894,894,110000
5,1963,1121,1121,139000
7,1961,944,999,178400
8,1998,1225,2612,336000
7,2007,1266,1266,159895
8,2002,1128,2290,255900
5,1977,0,1734,126000
5,1950,1164,1164,125000
6,1910,485,1635,117000
9,2009,1930,1940,395192
6,1976,848,2030,195000
7,2006,770,1576,197000
8,1997,1396,2392,348000
8,1882,916,1742,168000
6,1964,822,1851,187000
6,2005,750,1500,173900
10,2006,1700,1718,337500
4,1946,747,1230,121600
5,1961,1050,1050,136500
6,1970,1442,1442,185000
3,1922,1007,1077,91000
7,2006,1187,1208,206000
3,1952,0,944,82000
5,1920,691,691,86000
8,2006,1574,1574,232000
5,1976,1680,1680,136905
7,2005,1346,1504,181000
5,1977,985,985,149900
6,1970,1657,1657,163500
4,1970,546,1092,88000
7,2004,1710,1710,240000
5,1926,1008,1522,102000
5,1948,720,1271,135000
5,1965,0,1664,100000
6,1923,602,1502,165000
5,1910,1022,1022,85000
6,1948,1082,1082,119200
8,2001,810,1665,227000
7,1996,1504,1504,203000
8,1984,1220,1360,187500
7,1991,384,1472,160000
7,2005,1362,1506,213490
4,2005,1132,1132,176000
7,2006,1199,1220,194000
5,1930,912,1248,87000
7,2005,1346,1504,191000
8,1976,1565,2898,287000
5,1972,882,882,112500
5,1960,1268,1264,167500
8,2007,1638,1646,293077
5,1941,768,1376,105000
6,1972,672,1218,118000
5,1916,686,1928,160000
7,1920,824,3082,197000
8,1993,1338,2520,310000
7,2002,1654,1654,230000
5,1938,920,954,119750
4,1957,0,845,84000
9,2007,1620,1620,315500
8,2001,1055,2263,287000
4,1970,546,1344,97000
4,1970,630,630,80000
5,1957,1134,1803,155000
6,1966,800,1632,173000
6,2005,1306,1306,196000
7,1990,1475,2329,262280
8,1981,2524,2524,278000
3,1955,0,1733,139600
9,2005,1992,2868,556581
5,1994,990,990,145000
5,1960,0,1771,115000
4,1946,0,930,84900
7,2007,1302,1302,176485
7,2007,1316,1316,200141
6,1964,816,1977,165000
5,1957,1216,1526,144500
8,2002,1065,1989,255000
6,1976,1193,1523,180000
7,2005,1364,1364,185850
7,1994,973,1850,248000
9,2008,1104,2184,335000
6,1932,854,1991,220000
8,2001,1338,1338,213500
3,1935,894,894,81000
5,1900,662,2337,90000
6,1925,1103,1103,110500
5,1966,1154,1154,154000
7,1996,1306,2260,328000
6,1993,799,1571,178000
6,1964,780,1611,167900
6,1973,942,2521,151400
5,1949,845,893,135000
5,1956,1048,1048,135000
6,1968,727,1556,154000
5,1948,810,1456,91500
6,1977,690,1426,159500
7,2006,1240,1240,194000
7,1940,800,1740,219500
5,1936,796,1466,170000
5,1969,1096,1096,138800
6,2004,848,848,155900
5,1994,990,990,126000
6,1971,1258,1258,145000
5,1963,1040,1040,133000
7,2002,1459,1459,192000
6,1964,1251,1251,160000
6,1995,691,1498,187500
6,1992,936,996,147000
4,1973,546,1092,83500
8,2005,1082,1953,252000
7,2004,970,1709,137500
8,2005,1247,1247,197000
3,1950,0,1040,92900
7,1999,600,1252,160000
6,1925,1181,1694,136500
5,1965,864,1200,146000
5,1956,936,936,129000
6,2006,1314,1314,176432
6,1914,684,1355,127000
8,1986,1074,1088,170000
4,1936,672,1324,128000
7,1978,1271,1601,157000
2,1920,290,438,60000
5,1971,950,950,119500
5,1960,1010,1134,135000
6,1959,655,1194,159500
5,1970,630,1302,106000
8,1994,1463,2622,325000
7,1990,910,1442,179900
7,2006,868,2021,274725
6,2000,924,1690,181000
8,2004,1836,1836,280000
6,1995,773,1658,188000
7,1976,803,1964,205000
5,1957,816,816,129900
5,1953,1008,1008,134500
5,1954,833,833,117000
8,2007,1734,1734,318000
8,2002,408,1419,184100
5,1967,894,894,130000
5,1958,533,1601,140000
5,1959,1040,1040,133700
6,1920,1012,1012,118400
7,2005,1552,1552,212900
4,1956,672,960,112000
5,1947,698,698,118000
7,1992,384,1482,163900
4,1955,1005,1005,115000
7,2007,1373,1555,174000
7,2004,1530,1530,259000
7,2004,847,1959,215000
5,1980,936,936,140000
4,1928,1122,1981,135000
5,1991,974,974,93500
6,1880,1008,2210,117500
8,1995,1128,2020,239500
6,1997,916,1600,169000
6,1926,960,986,102000
6,1950,1032,1252,119000
5,1875,780,1020,94000
6,1977,1567,1567,196000
5,1920,915,1167,144000
5,1951,952,952,139000
5,1976,780,1868,197500
8,2006,1466,2828,424870
5,1959,1006,1006,80000
4,1941,672,924,80000
5,1928,1042,1576,149000
6,1985,1298,1298,180000
7,1941,704,1564,174500
7,1926,572,1111,116900
7,1920,650,1482,143000
6,1950,932,932,124000
5,1959,1466,1466,149900
6,1956,1073,1811,230000
6,1930,816,816,120500
7,1965,864,1820,201800
5,1976,1437,1437,218000
5,1965,1219,1265,179900
7,2007,1314,1314,230000
8,2007,1580,1580,235128
6,1974,901,1876,185000
6,1978,855,1456,146000
6,1954,1296,1640,224000
5,1968,894,894,129000
4,1969,1198,1258,108959
5,1978,1360,1432,194000
7,2009,1502,1502,233170
8,2008,1694,1694,245350
6,2000,959,1671,173000
6,1935,1127,2108,235000
10,1995,1930,3627,625000
6,1977,1096,1118,171000
6,1958,1261,1261,163000
7,2006,625,1250,171900
5,1946,1598,3086,200500
6,1932,952,2345,239000
8,1992,1683,2872,285000
5,1984,876,923,119500
6,1926,818,1224,115000
5,1921,731,1343,154900
5,1954,0,1124,93000
7,1990,1216,2514,250000
8,2008,1600,1652,392500
10,1996,2396,4476,745000
5,1920,1120,1130,120000
5,1963,1572,1572,186700
5,1924,784,1221,104900
3,1900,978,1699,95000
8,1994,1624,1624,262000
7,2002,831,1660,195000
7,1999,994,1804,189000
4,1961,1249,1622,168000
8,1999,776,1441,174000
5,1925,702,1472,125000
6,1999,1224,1224,165000
6,1969,663,1352,158000
6,2005,728,1456,176000
7,2006,879,1863,219210
7,1916,815,1690,144000
7,2001,1212,1212,178000
4,1963,1051,1382,148000
4,1970,864,864,116050
7,1998,866,1779,197900
5,1925,884,1348,117000
7,2000,1630,1630,213000
5,1975,1056,1074,153500
7,1990,2158,2196,271900
4,1966,1056,1056,107000
6,2003,1682,1700,200000
5,1962,931,1283,140000
8,2006,1660,1660,290000
6,1992,1055,1845,189000
8,1988,559,1752,164000
4,1941,672,672,113000
4,1965,648,960,145000
5,1962,925,999,134500
5,1966,894,894,125000
6,1978,0,1902,112000
8,2009,1300,1314,229456
4,1947,0,912,80500
6,1971,672,1218,91500
5,1964,912,912,115000
5,1968,952,1211,134000
6,1949,1040,1846,143000
5,1951,2136,2136,137900
7,2004,788,1490,184000
6,1958,588,1138,145000
6,2007,894,1933,214000
5,1965,912,912,147000
9,2008,1702,1702,367294
5,1960,1075,1507,127000
5,1977,1361,2620,190000
5,1962,1106,1190,132500
4,1962,0,1224,101800
5,1959,1188,1188,142000
5,1911,940,1964,130000
5,1914,747,1784,138887
7,2003,764,1626,175500
7,2004,847,1948,195000
6,2005,1141,1141,142500
8,2006,1476,1484,265900
7,2003,884,1768,224900
7,2007,1689,1689,248328
7,1974,1053,1173,170000
10,2006,2076,2076,465000
8,1929,792,1517,230000
6,1984,585,1868,178000
7,2005,756,1553,186500
6,1976,1012,1034,169900
6,1917,735,2058,129500
5,1950,876,988,119000
7,1968,2110,2110,244000
7,2003,1405,1405,171750
5,1968,864,874,130000
7,1974,1192,2167,294000
7,2003,746,1656,165400
6,1931,884,1367,127500
8,1994,1986,1987,301500
5,1922,864,864,99900
7,2005,856,1166,190000
6,1969,1054,1054,151000
6,1999,841,1675,181000
5,1956,1050,1050,128900
4,1957,1104,1788,161500
6,1919,764,1824,180500
6,1998,1405,1337,181000
7,1999,691,1452,183900
7,1910,925,1889,122000
9,2008,2002,2018,378500
8,1935,728,3447,381000
5,1958,874,1524,144000
7,1979,1332,1524,260000
6,1968,1489,1489,185750
5,1965,935,935,137000
6,1959,1019,1357,177000
5,1910,661,1250,139000
5,1948,928,1920,137000
6,1972,723,1395,162000
6,1967,1680,1724,197900
8,2002,1128,2031,237000
4,1920,698,1128,68400
7,2002,1573,1573,227000
7,1990,1309,1339,180000
5,1977,1040,1040,150500
6,1971,912,1824,139000
6,1919,804,2447,169000
6,1939,780,1412,132500
6,1963,1328,1328,143000
5,1964,1624,1582,190000
8,2000,1501,1659,278000
8,2006,1085,1970,281000
5,1964,1152,1152,180500
5,1972,630,1302,119500
5,1892,994,2372,107500
7,1976,832,1664,162900
5,1955,864,864,115000
5,1968,1052,1052,138500
5,1963,1120,1128,155000
6,2005,547,1072,140000
10,2008,6110,5642,160000
5,1959,1246,1246,154000
7,1999,978,1983,225000
6,1942,771,1494,177500
8,1994,1165,2526,290000
7,2005,1616,1616,232000
7,2004,976,1708,130000
9,2006,1652,1652,325000
7,2005,1368,1368,202500
5,1994,990,990,138000
5,1948,924,1122,147000
6,1991,1278,1294,179200
7,1959,1902,1902,335000
7,2005,1274,1274,203000
8,1990,1453,2810,302000
9,1999,1393,2599,333168
4,1954,948,948,119000
6,1969,952,2112,206900
8,2008,1622,1630,295493
7,2006,1352,1352,208900
8,2001,1753,1787,275000
4,1954,864,948,111000
6,1957,1478,1478,156500
3,1949,0,720,72500
7,1992,750,1923,190000
4,1940,420,708,82500
8,2006,1795,1795,147000
4,1922,796,796,55000
3,1931,544,774,79000
5,1982,816,816,130500
6,1920,1510,2792,256000
7,1998,935,1632,176500
8,2006,1588,1588,227000
5,1976,911,954,132500
4,1938,816,816,100000
5,1938,803,1360,125500
5,1970,765,1365,125000
6,1977,1350,1334,167900
5,1973,1656,1656,135000
4,1941,693,693,52500
7,2002,916,1861,200000
5,1972,864,864,128500
4,1971,858,872,123000
6,2003,1114,1114,155000
8,2002,1284,2169,228500
6,1928,896,1913,177000
7,2006,728,1456,155835
4,1920,960,960,108500
7,1968,1568,2156,262500
8,2006,1732,1776,283463
7,1998,1482,1494,215000
8,1872,684,2358,122000
5,1969,1248,2634,200000
6,1962,858,1716,171000
6,1937,698,1176,134900
8,1995,2033,3238,410000
7,2000,992,1865,235000
7,1968,570,1920,170000
5,1966,864,892,110000
5,1971,1078,1078,149900
6,2000,756,1573,177500
9,2004,1980,1980,315000
5,1921,612,2601,189000
7,2005,1530,1530,260000
4,1920,715,1738,104900
6,2006,616,1412,156932
7,2005,600,1200,144152
7,2000,814,1674,216000
7,1999,873,1790,193000
5,1977,757,1475,127000
6,2003,848,848,144000
8,2003,1657,1668,232000
4,1920,840,1374,105000
6,1955,992,1661,165500
7,1998,1108,2097,274300
10,2001,2633,2633,466500
7,2005,1026,1958,250000
8,2007,1571,1571,239000
6,1930,768,790,91000
5,1941,984,1604,117000
6,1973,483,987,83000
5,2006,384,1394,167500
3,1914,864,864,58500
6,1970,1205,2117,237500
7,1920,596,1762,157000
5,1918,816,1416,112000
6,1939,560,1258,105000
4,1922,796,1154,125500
7,1978,1392,2784,250000
6,1916,714,2526,136000
9,2006,1746,1746,377500
6,1941,735,1218,131000
7,2000,1525,1525,235000
5,1967,1584,1584,124000
5,1967,864,900,123000
6,1905,482,1912,163000
7,2006,1356,1500,246578
8,2005,1094,2482,281213
5,1948,747,1687,160000
5,1920,939,1513,137500
5,1950,1208,1904,138000
6,1925,976,1608,137450
6,1929,862,1158,120000
6,2004,839,1593,193000
7,2006,1286,1294,193879
8,2007,1485,1464,282922
3,1915,672,1214,105000
8,2004,1594,1646,275000
5,1972,768,768,133000
5,1985,833,833,112000
4,1910,622,1363,125500
7,1986,791,2093,215000
7,2001,944,1840,230000
6,1950,856,1668,140000
4,1949,0,1040,90000
8,2005,1844,1844,257000
6,1923,833,1848,207000
7,2007,1386,1569,175900
4,1885,777,2290,122500
8,1998,1284,2450,340000
5,1963,1144,1144,124000
6,1969,1844,1844,223000
6,1968,708,1416,179900
6,1977,1069,1069,127500
6,2003,848,848,136500
6,1966,697,2201,274970
5,1958,1024,1344,144000
6,1959,1252,1252,142000
7,1994,1223,2127,271000
5,1945,913,1558,140000
5,1940,788,804,119000
6,1981,1440,1440,182900
5,2005,732,1838,192140
6,1976,958,958,143750
4,1927,656,968,64500
6,2000,936,1792,186500
5,1977,1126,1126,160000
6,1962,1319,1537,174000
4,1971,864,864,120500
8,2008,1932,1932,394617
6,1957,912,1236,149700
7,1979,539,1725,197000
6,1922,588,2555,191000
6,2004,848,848,149300
10,2008,1017,2007,310000
6,1916,952,952,121000
7,2004,1422,1422,179600
6,1966,814,913,129000
5,1962,1188,1188,157900
8,1995,1220,2090,240000
4,1910,560,1346,112000
5,1970,630,630,92000
5,1974,896,1792,136000
8,2008,1573,1578,287090
5,2005,547,1072,145000
5,2006,1140,1140,84500
7,2004,1221,1221,185000
6,1999,953,1647,175000
6,1978,1542,2073,210000
7,1941,1152,2340,266500
5,1950,1078,1078,142125
5,1965,1256,1256,147500
